study,dimension,Full name,Submission,Submission id,Comparisons received,Time spent,Average time spent,First comparison,Last comparison,Wins,Losses,Score
study1,insight,10,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=31"">View</a>",38,74,1 hour 2 mins,50.5946 secs,"Friday, 22 January 2021, 5:30 PM","Sunday, 31 January 2021, 10:34 PM",63,11,96
study1,insight,11,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=32"">View</a>",39,73,1 hour 12 mins,59.7534 secs,"Friday, 22 January 2021, 5:29 PM","Sunday, 31 January 2021, 10:33 PM",27,46,57
study1,insight,12,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=33"">View</a>",40,74,1 hour 18 mins,1 min 3.6892 secs,"Friday, 22 January 2021, 5:29 PM","Sunday, 31 January 2021, 10:34 PM",35,39,59
study1,insight,13,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=36"">View</a>",43,73,1 hour 18 mins,1 min 4.6849 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:33 PM",22,51,48
study1,insight,2,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=23"">View</a>",30,74,43 mins 16 secs,35.0811 secs,"Friday, 22 January 2021, 5:28 PM","Sunday, 31 January 2021, 10:34 PM",50,24,79
study1,insight,3,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=24"">View</a>",31,74,42 mins 12 secs,34.2162 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:34 PM",18,56,45
study1,insight,4,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=25"">View</a>",32,74,1 hour,49.1216 secs,"Friday, 22 January 2021, 5:31 PM","Sunday, 31 January 2021, 10:34 PM",39,35,67
study1,insight,5,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=26"">View</a>",33,74,46 mins 34 secs,37.7568 secs,"Friday, 22 January 2021, 5:28 PM","Sunday, 31 January 2021, 10:34 PM",37,37,64
study1,insight,6,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=27"">View</a>",34,74,53 mins 23 secs,43.2838 secs,"Friday, 22 January 2021, 5:30 PM","Sunday, 31 January 2021, 10:34 PM",44,30,71
study1,insight,7,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=28"">View</a>",35,73,43 mins 13 secs,35.5205 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:33 PM",43,30,71
study1,insight,8,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=29"">View</a>",36,74,39 mins 43 secs,32.2027 secs,"Friday, 22 January 2021, 5:27 PM","Sunday, 31 January 2021, 10:33 PM",44,30,72
study1,insight,9,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3560&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=30"">View</a>",37,73,44 mins 48 secs,36.8219 secs,"Friday, 22 January 2021, 5:28 PM","Sunday, 31 January 2021, 10:33 PM",41,32,75
study2,rigour,1,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=37"">View</a>",112,104,43 mins 5 secs,24.8558 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:33 PM",18,86,39
study2,rigour,10,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=82"">View</a>",157,103,1 hour 21 mins,47.4078 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:32 PM",95,8,98
study2,rigour,11,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=87"">View</a>",162,104,1 hour 32 mins,53.3654 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:33 PM",76,28,80
study2,rigour,12,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=92"">View</a>",167,104,1 hour 14 mins,42.7212 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:33 PM",61,43,72
study2,rigour,13,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=97"">View</a>",172,103,2 hours 30 mins,1 min 27.8252 secs,"Wednesday, 24 February 2021, 6:24 PM","Tuesday, 2 March 2021, 3:33 PM",36,67,57
study2,rigour,14,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=102"">View</a>",177,103,1 hour 3 mins,36.8058 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:33 PM",57,46,69
study2,rigour,15,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=107"">View</a>",182,104,1 hour 30 mins,52.2885 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:33 PM",41,63,59
study2,rigour,2,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=42"">View</a>",117,103,48 mins 8 secs,28.0388 secs,"Wednesday, 24 February 2021, 6:24 PM","Tuesday, 2 March 2021, 3:33 PM",32,71,53
study2,rigour,3,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=47"">View</a>",122,104,43 mins 35 secs,25.1442 secs,"Wednesday, 24 February 2021, 6:24 PM","Tuesday, 2 March 2021, 3:33 PM",20,84,42
study2,rigour,4,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=52"">View</a>",127,103,2 hours 23 mins,1 min 23.6893 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:32 PM",58,45,68
study2,rigour,5,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=57"">View</a>",132,103,1 hour 11 mins,41.6019 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:32 PM",32,71,54
study2,rigour,6,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=62"">View</a>",137,103,1 hour 15 mins,44.1068 secs,"Wednesday, 24 February 2021, 6:24 PM","Tuesday, 2 March 2021, 3:33 PM",67,36,74
study2,rigour,7,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=67"">View</a>",142,103,1 hour 43 mins,1 min 0.534 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:32 PM",54,49,66
study2,rigour,8,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=72"">View</a>",147,103,1 hour 41 mins,59.3204 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:33 PM",65,38,70
study2,rigour,9,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3600&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=77"">View</a>",152,103,54 mins 36 secs,31.8058 secs,"Wednesday, 24 February 2021, 6:25 PM","Tuesday, 2 March 2021, 3:32 PM",63,40,74
study2,insight,1,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3602&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=38"">View</a>",113,72,22 mins 59 secs,19.1528 secs,"Wednesday, 24 February 2021, 6:38 PM","Tuesday, 2 March 2021, 3:43 PM",31,41,55
study2,insight,10,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3602&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=83"">View</a>",158,71,48 mins 25 secs,40.9155 secs,"Wednesday, 24 February 2021, 6:37 PM","Tuesday, 2 March 2021, 3:43 PM",49,22,92
study2,insight,11,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3602&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=88"">View</a>",163,71,38 mins 54 secs,32.8732 secs,"Wednesday, 24 February 2021, 6:37 PM","Tuesday, 2 March 2021, 3:43 PM",35,36,63
study2,insight,12,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3602&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=93"">View</a>",168,72,57 mins 57 secs,48.2917 secs,"Wednesday, 24 February 2021, 6:38 PM","Tuesday, 2 March 2021, 3:43 PM",35,37,63
study2,insight,13,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3602&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=98"">View</a>",173,72,1 hour 35 mins,1 min 19.875 secs,"Wednesday, 24 February 2021, 6:36 PM","Tuesday, 2 March 2021, 3:43 PM",26,46,46
study2,insight,14,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3602&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=103"">View</a>",178,72,41 mins 55 secs,34.9306 secs,"Wednesday, 24 February 2021, 6:38 PM","Tuesday, 2 March 2021, 3:43 PM",37,35,67
study2,insight,15,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3602&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=108"">View</a>",183,71,37 mins 42 secs,31.8592 secs,"Wednesday, 24 February 2021, 6:36 PM","Tuesday, 2 March 2021, 3:43 PM",33,38,58
