study,dimension,Full name,Submission,Submission id,Comparisons received,Time spent,Average time spent,First comparison,Last comparison,Wins,Losses,Score
study2,simple,2,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=44"">View</a>",119,76,31 mins 24 secs,24.7895 secs,"Wednesday, 24 February 2021, 6:44 PM","Tuesday, 2 March 2021, 1:53 PM",58,18,85
study2,simple,3,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=49"">View</a>",124,76,53 mins 29 secs,42.2237 secs,"Wednesday, 24 February 2021, 6:44 PM","Tuesday, 2 March 2021, 1:53 PM",23,53,53
study2,simple,4,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=54"">View</a>",129,76,49 mins,38.6842 secs,"Wednesday, 24 February 2021, 6:44 PM","Tuesday, 2 March 2021, 1:53 PM",47,29,75
study2,simple,5,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=59"">View</a>",134,76,33 mins 48 secs,26.6842 secs,"Wednesday, 24 February 2021, 6:44 PM","Tuesday, 2 March 2021, 1:53 PM",52,24,78
study2,simple,6,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=64"">View</a>",139,76,1 hour 1 min,48.3816 secs,"Wednesday, 24 February 2021, 6:45 PM","Tuesday, 2 March 2021, 1:53 PM",41,35,67
study2,simple,7,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=69"">View</a>",144,76,1 hour 2 mins,49.0789 secs,"Wednesday, 24 February 2021, 6:44 PM","Tuesday, 2 March 2021, 1:53 PM",32,44,63
study2,simple,8,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=74"">View</a>",149,76,55 mins 7 secs,43.5132 secs,"Wednesday, 24 February 2021, 6:44 PM","Tuesday, 2 March 2021, 1:53 PM",53,23,79
study2,simple,9,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3604&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=79"">View</a>",154,77,1 hour 3 mins,49.3117 secs,"Wednesday, 24 February 2021, 6:44 PM","Tuesday, 2 March 2021, 2:05 PM",42,35,68
study2,understanding,1,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=40"">View</a>",115,81,35 mins 20 secs,26.1728 secs,"Wednesday, 24 February 2021, 7:05 PM","Tuesday, 2 March 2021, 2:47 PM",44,37,69
study2,understanding,10,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=85"">View</a>",160,82,53 mins,38.7805 secs,"Wednesday, 24 February 2021, 6:57 PM","Tuesday, 2 March 2021, 2:47 PM",62,20,93
study2,understanding,11,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=90"">View</a>",165,81,1 hour 1 min,45.3086 secs,"Wednesday, 24 February 2021, 6:57 PM","Tuesday, 2 March 2021, 2:46 PM",31,50,52
study2,understanding,12,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=95"">View</a>",170,82,1 hour 11 mins,52.6585 secs,"Wednesday, 24 February 2021, 6:59 PM","Tuesday, 2 March 2021, 2:48 PM",28,54,48
study2,understanding,13,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=100"">View</a>",175,82,52 mins 58 secs,38.7561 secs,"Wednesday, 24 February 2021, 7:01 PM","Tuesday, 2 March 2021, 2:47 PM",27,55,48
study2,understanding,14,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=105"">View</a>",180,82,1 hour 12 mins,53.1829 secs,"Wednesday, 24 February 2021, 7:03 PM","Tuesday, 2 March 2021, 2:48 PM",54,28,80
study2,understanding,15,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=110"">View</a>",185,82,53 mins 59 secs,39.5 secs,"Wednesday, 24 February 2021, 6:59 PM","Tuesday, 2 March 2021, 2:47 PM",41,41,66
study2,understanding,2,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=45"">View</a>",120,81,41 mins 48 secs,30.963 secs,"Wednesday, 24 February 2021, 7:02 PM","Tuesday, 2 March 2021, 2:46 PM",50,31,76
study2,understanding,3,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=50"">View</a>",125,81,31 mins 48 secs,23.5556 secs,"Wednesday, 24 February 2021, 7:03 PM","Tuesday, 2 March 2021, 2:47 PM",17,64,33
study2,understanding,4,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=55"">View</a>",130,81,52 mins 57 secs,39.2222 secs,"Wednesday, 24 February 2021, 7:00 PM","Tuesday, 2 March 2021, 2:47 PM",42,39,67
study2,understanding,5,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=60"">View</a>",135,82,1 hour 14 mins,54.439 secs,"Wednesday, 24 February 2021, 7:01 PM","Tuesday, 2 March 2021, 2:48 PM",46,36,73
study2,understanding,6,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=65"">View</a>",140,81,1 hour 9 mins,51.5556 secs,"Wednesday, 24 February 2021, 7:02 PM","Tuesday, 2 March 2021, 2:47 PM",42,39,66
study2,understanding,7,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=70"">View</a>",145,81,1 hour 4 mins,47.9753 secs,"Wednesday, 24 February 2021, 7:00 PM","Tuesday, 2 March 2021, 2:47 PM",36,45,60
study2,understanding,8,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=75"">View</a>",150,82,1 hour 31 mins,1 min 7.1951 secs,"Wednesday, 24 February 2021, 7:05 PM","Tuesday, 2 March 2021, 2:48 PM",48,34,74
study2,understanding,9,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3606&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=80"">View</a>",155,81,1 hour 25 mins,1 min 3.321 secs,"Wednesday, 24 February 2021, 7:05 PM","Tuesday, 2 March 2021, 2:47 PM",43,38,69
study2,marks,1,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=41"">View</a>",116,74,44 mins 5 secs,35.7432 secs,"Wednesday, 24 February 2021, 7:10 PM","Tuesday, 2 March 2021, 4:15 PM",18,56,47
study2,marks,10,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=86"">View</a>",161,74,33 mins 33 secs,27.2027 secs,"Wednesday, 24 February 2021, 7:10 PM","Tuesday, 2 March 2021, 4:15 PM",67,7,95
study2,marks,11,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=91"">View</a>",166,74,1 hour,48.6486 secs,"Wednesday, 24 February 2021, 7:08 PM","Tuesday, 2 March 2021, 4:15 PM",46,28,72
study2,marks,12,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=96"">View</a>",171,75,1 hour 19 mins,1 min 3.6933 secs,"Wednesday, 24 February 2021, 7:11 PM","Tuesday, 2 March 2021, 4:15 PM",47,28,76
study2,marks,13,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=101"">View</a>",176,74,57 mins 10 secs,46.3514 secs,"Wednesday, 24 February 2021, 7:08 PM","Tuesday, 2 March 2021, 4:15 PM",32,42,66
study2,marks,14,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=106"">View</a>",181,75,37 mins 25 secs,29.9333 secs,"Wednesday, 24 February 2021, 7:06 PM","Tuesday, 2 March 2021, 4:15 PM",53,22,77
study2,marks,15,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=111"">View</a>",186,75,2 hours 9 mins,1 min 43.48 secs,"Wednesday, 24 February 2021, 7:10 PM","Tuesday, 2 March 2021, 4:15 PM",32,43,60
study2,marks,2,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=46"">View</a>",121,75,24 mins 11 secs,19.3467 secs,"Wednesday, 24 February 2021, 7:06 PM","Tuesday, 2 March 2021, 4:15 PM",16,59,42
study2,marks,3,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=51"">View</a>",126,74,59 mins 31 secs,48.2568 secs,"Wednesday, 24 February 2021, 7:08 PM","Tuesday, 2 March 2021, 4:15 PM",9,65,36
study2,marks,4,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=56"">View</a>",131,74,57 mins 35 secs,46.6892 secs,"Wednesday, 24 February 2021, 7:06 PM","Tuesday, 2 March 2021, 4:15 PM",26,48,59
study2,marks,5,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=61"">View</a>",136,75,49 mins,39.2 secs,"Wednesday, 24 February 2021, 7:10 PM","Tuesday, 2 March 2021, 4:15 PM",31,44,58
study2,marks,6,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=66"">View</a>",141,74,2 hours 5 mins,1 min 42.0946 secs,"Wednesday, 24 February 2021, 7:08 PM","Tuesday, 2 March 2021, 4:15 PM",49,25,76
study2,marks,7,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=71"">View</a>",146,74,1 hour 20 mins,1 min 5.1351 secs,"Wednesday, 24 February 2021, 7:06 PM","Tuesday, 2 March 2021, 4:15 PM",39,35,67
study2,marks,8,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=76"">View</a>",151,75,35 mins 25 secs,28.3333 secs,"Wednesday, 24 February 2021, 7:11 PM","Tuesday, 2 March 2021, 4:15 PM",45,30,70
study2,marks,9,"<a href=""https://moodle2.maths.ed.ac.uk/live2018/mod/assign/view.php?id=3608&amp;action=viewpluginpage&amp;plugin=comparativejudgement&amp;pluginsubtype=assignsubmission&amp;pluginaction=addexemplar&amp;exemplarid=81"">View</a>",156,74,43 mins 44 secs,35.4595 secs,"Wednesday, 24 February 2021, 7:11 PM","Tuesday, 2 March 2021, 4:15 PM",48,26,73
