study,dimension,JudgeID,Won,Lost,TimeTaken
study1,rigour,104,25,26,23
study1,rigour,6860,42,26,7
study1,rigour,6860,24,26,2
study1,rigour,9,26,27,10
study1,rigour,1077,26,27,62
study1,rigour,1077,25,27,27
study1,rigour,48,24,27,87
study1,rigour,48,23,27,3
study1,rigour,983,20,27,71
study1,rigour,753,26,27,234
study1,rigour,753,21,27,9
study1,rigour,753,24,27,8
study1,rigour,450,26,27,30
study1,rigour,450,22,27,19
study1,rigour,537,18,27,19
study1,rigour,1459,18,27,136
study1,rigour,1459,24,27,27
study1,rigour,1466,41,27,6
study1,rigour,1466,24,27,5
study1,rigour,104,23,27,36
study1,rigour,17,24,27,27
study1,rigour,1301,26,27,7
study1,rigour,1301,24,27,31
study1,rigour,1736,26,27,1242
study1,rigour,748,18,27,71
study1,rigour,748,41,27,33
study1,rigour,748,26,27,8
study1,rigour,6860,21,27,3
study1,rigour,9,23,41,15
study1,rigour,9,21,41,13
study1,rigour,1077,21,41,52
study1,rigour,1077,25,41,7
study1,rigour,269,42,41,488
study1,rigour,48,26,41,104
study1,rigour,48,23,41,6
study1,rigour,48,25,41,3
study1,rigour,753,25,41,223
study1,rigour,753,23,41,381
study1,rigour,753,18,41,21
study1,rigour,753,26,41,10
study1,rigour,450,24,41,44
study1,rigour,450,25,41,31
study1,rigour,3103,26,41,4
study1,rigour,94,42,41,107
study1,rigour,94,25,41,44
study1,rigour,94,23,41,10
study1,rigour,74,27,41,1575
study1,rigour,74,25,41,8
study1,rigour,74,22,41,7
study1,rigour,1553,26,41,727
study1,rigour,577,24,41,80
study1,rigour,1553,20,41,88
study1,rigour,537,19,41,137
study1,rigour,1459,23,41,192
study1,rigour,1301,42,41,1034
study1,rigour,1466,24,41,66
study1,rigour,1466,25,41,6
study1,rigour,524,26,41,23
study1,rigour,524,21,41,23
study1,rigour,2719,27,41,24
study1,rigour,2719,22,41,6
study1,rigour,104,26,41,111
study1,rigour,1301,22,41,9
study1,rigour,1301,21,41,13
study1,rigour,1736,42,41,1127
study1,rigour,748,42,41,52
study1,rigour,78,26,41,159
study1,rigour,78,22,41,127
study1,rigour,78,24,41,6
study1,rigour,6860,20,41,5
study1,rigour,6860,23,41,3
study1,rigour,9,22,42,14
study1,rigour,9,25,42,44
study1,rigour,9,41,42,6
study1,rigour,1077,24,42,72
study1,rigour,1077,22,42,9
study1,rigour,6376,23,42,55
study1,rigour,6376,41,42,3
study1,rigour,6376,25,42,3
study1,rigour,48,26,42,23
study1,rigour,48,21,42,5
study1,rigour,983,22,42,133
study1,rigour,983,41,42,5
study1,rigour,1251,41,42,29
study1,rigour,1251,23,42,50
study1,rigour,753,22,42,23
study1,rigour,450,22,42,149
study1,rigour,450,41,42,21
study1,rigour,3103,19,42,154
study1,rigour,3103,22,42,5
study1,rigour,3103,20,42,5
study1,rigour,3103,27,42,2
study1,rigour,94,23,42,8
study1,rigour,94,27,42,36
study1,rigour,74,20,42,4
study1,rigour,577,26,42,107
study1,rigour,577,22,42,14
study1,rigour,1553,22,42,44
study1,rigour,1459,22,42,162
study1,rigour,1466,24,42,5
study1,rigour,1466,27,42,9
study1,rigour,1466,26,42,5
study1,rigour,2719,23,42,21
study1,rigour,2719,41,42,21
study1,rigour,2719,18,42,5
study1,rigour,104,24,42,17
study1,rigour,104,27,42,18
study1,rigour,17,26,42,67
study1,rigour,17,27,42,63
study1,rigour,1301,23,42,16
study1,rigour,1736,23,42,21
study1,rigour,748,18,42,27
study1,rigour,748,26,42,6
study1,rigour,748,24,42,10
study1,rigour,78,27,42,224
study1,rigour,78,25,42,4
study1,rigour,6860,20,42,4
study1,insight,2715,37,29,24
study1,insight,2715,38,29,13
study1,insight,2850,32,29,59
study1,insight,1104,37,29,11
study1,insight,1104,33,29,8
study1,insight,1104,43,29,6
study1,insight,2046,38,29,46
study1,insight,2046,34,29,59
study1,insight,248,38,29,67
study1,insight,248,33,29,12
study1,insight,248,32,29,11
study1,insight,248,37,29,5
study1,insight,605,32,29,107
study1,insight,22,32,29,15
study1,insight,22,38,29,41
study1,insight,22,31,29,3
study1,insight,544,43,29,155
study1,insight,539,34,29,96
study1,insight,539,33,29,4
study1,insight,562,38,29,22
study1,insight,562,30,29,20
study1,insight,909,43,29,283
study1,insight,909,32,29,10
study1,insight,909,38,29,5
study1,insight,2400,38,29,22
study1,insight,2400,33,29,10
study1,insight,2400,34,29,5
study1,insight,2400,40,29,4
study1,insight,560,32,29,112
study1,insight,560,37,29,10
study1,insight,560,39,29,7
study1,insight,560,34,29,4
study1,insight,127,37,29,4
study1,insight,127,39,29,4
study1,insight,572,38,29,18
study1,insight,572,33,29,4
study1,insight,572,34,29,3
study1,insight,572,36,29,2
study1,insight,831,33,29,181
study1,insight,829,35,29,3
study1,insight,829,32,29,6
study1,insight,55,38,29,69
study1,insight,55,30,29,3
study1,insight,55,32,29,5
study1,insight,55,43,29,3
study1,insight,1220,33,29,14
study1,insight,525,43,29,50
study1,insight,525,37,29,8
study1,insight,46,35,29,21
study1,insight,7851,33,29,261
study1,insight,7851,34,29,12
study1,insight,2920,40,29,374
study1,insight,2920,37,29,28
study1,insight,1071,40,29,46
study1,insight,2753,31,29,67
study1,insight,2753,34,29,5
study1,insight,2715,32,30,37
study1,insight,1153,32,30,20
study1,insight,248,35,30,9
study1,insight,248,37,30,4
study1,insight,248,40,30,4
study1,insight,605,39,30,109
study1,insight,22,38,30,6
study1,insight,560,39,30,421
study1,insight,560,38,30,8
study1,insight,560,43,30,4
study1,insight,127,38,30,29
study1,insight,829,37,30,60
study1,insight,829,39,30,3
study1,insight,829,29,30,4
study1,insight,55,36,30,2
study1,insight,46,43,30,21
study1,insight,2920,39,30,276
study1,insight,2753,35,30,87
study1,insight,2753,43,30,22
study1,insight,2753,38,30,71
study1,insight,2715,35,31,58
study1,insight,2715,39,31,16
study1,insight,2850,35,31,115
study1,insight,1104,35,31,23
study1,insight,1104,34,31,6
study1,insight,1104,36,31,3
study1,insight,1104,40,31,3
study1,insight,2046,36,31,81
study1,insight,2046,30,31,35
study1,insight,248,30,31,22
study1,insight,248,36,31,7
study1,insight,248,38,31,3
study1,insight,605,33,31,71
study1,insight,22,43,31,93
study1,insight,544,30,31,44
study1,insight,539,33,31,33
study1,insight,539,30,31,5
study1,insight,562,43,31,35
study1,insight,562,38,31,14
study1,insight,562,29,31,12
study1,insight,909,33,31,60
study1,insight,909,36,31,5
study1,insight,909,30,31,2
study1,insight,64,30,31,135
study1,insight,560,43,31,19
study1,insight,560,32,31,5
study1,insight,560,36,31,5
study1,insight,560,40,31,7
study1,insight,127,40,31,22
study1,insight,127,35,31,4
study1,insight,127,33,31,3
study1,insight,127,30,31,2
study1,insight,845,38,31,103
study1,insight,845,29,31,12
study1,insight,572,36,31,4
study1,insight,829,39,31,6
study1,insight,831,38,31,18
study1,insight,829,38,31,5
study1,insight,829,34,31,9
study1,insight,55,32,31,50
study1,insight,55,34,31,4
study1,insight,55,38,31,3
study1,insight,525,40,31,89
study1,insight,525,39,31,30
study1,insight,525,35,31,4
study1,insight,46,38,31,12
study1,insight,7851,34,31,144
study1,insight,7851,38,31,16
study1,insight,2920,35,31,168
study1,insight,2920,34,31,14
study1,insight,1071,43,31,40
study1,insight,2753,36,31,22
study1,insight,1104,35,32,5
study1,insight,1104,40,32,5
study1,insight,1104,30,32,2
study1,insight,2046,37,32,75
study1,insight,248,33,32,153
study1,insight,539,40,32,16
study1,insight,539,31,32,4
study1,insight,562,37,32,11
study1,insight,562,30,32,12
study1,insight,909,34,32,376
study1,insight,909,37,32,7
study1,insight,909,33,32,7
study1,insight,2400,30,32,2
study1,insight,127,34,32,59
study1,insight,127,29,32,32
study1,insight,127,36,32,5
study1,insight,127,38,32,2
study1,insight,845,39,32,462
study1,insight,845,37,32,71
study1,insight,572,30,32,39
study1,insight,572,38,32,6
study1,insight,829,34,32,38
study1,insight,1220,33,32,186
study1,insight,1220,37,32,14
study1,insight,1220,38,32,6
study1,insight,525,35,32,34
study1,insight,525,36,32,21
study1,insight,46,34,32,12
study1,insight,7851,36,32,55
study1,insight,2920,33,32,164
study1,insight,2920,30,32,5
study1,insight,2753,37,32,16
study1,insight,2753,34,32,283
study1,insight,2715,30,33,37
study1,insight,2715,35,33,28
study1,insight,1104,34,33,29
study1,insight,1104,30,33,3
study1,insight,1104,37,33,4
study1,insight,248,38,33,9
study1,insight,248,39,33,4
study1,insight,22,36,33,56
study1,insight,22,31,33,13
study1,insight,22,32,33,5
study1,insight,22,29,33,2
study1,insight,544,32,33,89
study1,insight,562,35,33,18
study1,insight,562,36,33,7
study1,insight,909,30,33,3
study1,insight,64,35,33,28
study1,insight,2400,32,33,6
study1,insight,2400,36,33,4
study1,insight,2400,34,33,3
study1,insight,560,35,33,7
study1,insight,127,30,33,47
study1,insight,127,37,33,9
study1,insight,127,38,33,4
study1,insight,845,34,33,58
study1,insight,845,39,33,14
study1,insight,829,29,33,38
study1,insight,829,30,33,6
study1,insight,829,34,33,6
study1,insight,55,30,33,91
study1,insight,55,43,33,9
study1,insight,55,35,33,3
study1,insight,55,39,33,16
study1,insight,525,36,33,44
study1,insight,3126,29,33,7
study1,insight,2920,43,33,4
study1,insight,2753,36,33,78
study1,insight,2715,38,34,48
study1,insight,2715,32,34,29
study1,insight,1153,29,34,69
study1,insight,2850,37,34,99
study1,insight,248,39,34,143
study1,insight,248,40,34,13
study1,insight,248,32,34,11
study1,insight,22,30,34,55
study1,insight,22,36,34,12
study1,insight,22,40,34,5
study1,insight,22,38,34,3
study1,insight,539,36,34,8
study1,insight,539,30,34,2
study1,insight,562,36,34,12
study1,insight,562,39,34,11
study1,insight,64,39,34,33
study1,insight,560,43,34,191
study1,insight,845,30,34,33
study1,insight,572,35,34,44
study1,insight,572,37,34,6
study1,insight,831,31,34,321
study1,insight,55,35,34,10
study1,insight,1220,37,34,4
study1,insight,1220,32,34,2
study1,insight,525,32,34,90
study1,insight,525,38,34,16
study1,insight,46,36,34,12
study1,insight,1071,35,34,69
study1,insight,1153,31,35,123
study1,insight,1104,37,35,14
study1,insight,2046,33,35,171
study1,insight,2046,34,35,20
study1,insight,248,37,35,56
study1,insight,248,34,35,5
study1,insight,605,37,35,118
study1,insight,22,37,35,23
study1,insight,22,38,35,15
study1,insight,22,30,35,3
study1,insight,539,38,35,40
study1,insight,539,37,35,6
study1,insight,909,34,35,16
study1,insight,909,40,35,12
study1,insight,2400,40,35,11
study1,insight,2400,31,35,2
study1,insight,127,34,35,26
study1,insight,572,37,35,12
study1,insight,829,38,35,53
study1,insight,829,37,35,6
study1,insight,829,36,35,23
study1,insight,55,36,35,21
study1,insight,1220,34,35,39
study1,insight,1220,40,35,14
study1,insight,3126,30,35,36
study1,insight,7851,43,35,98
study1,insight,2920,34,35,51
study1,insight,2753,37,35,44
study1,insight,1153,33,36,42
study1,insight,2850,33,36,88
study1,insight,1104,30,36,24
study1,insight,1104,37,36,9
study1,insight,248,38,36,15
study1,insight,248,40,36,11
study1,insight,248,35,36,7
study1,insight,22,32,36,7
study1,insight,544,40,36,66
study1,insight,539,33,36,3
study1,insight,909,35,36,68
study1,insight,909,43,36,9
study1,insight,64,32,36,57
study1,insight,2400,31,36,10
study1,insight,2400,30,36,3
study1,insight,2400,32,36,5
study1,insight,560,35,36,36
study1,insight,560,33,36,9
study1,insight,560,38,36,6
study1,insight,127,39,36,26
study1,insight,127,40,36,14
study1,insight,845,38,36,40
study1,insight,1220,30,36,76
study1,insight,1220,31,36,2
study1,insight,1220,33,36,4
study1,insight,525,35,36,97
study1,insight,46,33,36,14
study1,insight,2920,43,36,236
study1,insight,2920,40,36,14
study1,insight,1071,38,36,52
study1,insight,2715,36,37,23
study1,insight,248,39,37,33
study1,insight,544,38,37,20
study1,insight,539,30,37,22
study1,insight,562,36,37,9
study1,insight,64,38,37,130
study1,insight,2400,30,37,29
study1,insight,2400,34,37,8
study1,insight,2400,38,37,5
study1,insight,560,38,37,132
study1,insight,560,30,37,6
study1,insight,560,35,37,6
study1,insight,127,38,37,22
study1,insight,127,34,37,11
study1,insight,845,36,37,215
study1,insight,572,33,37,33
study1,insight,572,30,37,4
study1,insight,831,30,37,87
study1,insight,831,33,37,17
study1,insight,829,36,37,25
study1,insight,829,38,37,5
study1,insight,55,34,37,71
study1,insight,55,38,37,6
study1,insight,55,32,37,3
study1,insight,55,40,37,10
study1,insight,1220,29,37,18
study1,insight,525,30,37,56
study1,insight,3126,36,37,158
study1,insight,7851,38,37,124
study1,insight,7851,33,37,13
study1,insight,2920,38,37,247
study1,insight,2850,37,38,14
study1,insight,1104,30,38,5
study1,insight,1104,34,38,11
study1,insight,2046,36,38,50
study1,insight,605,36,38,34
study1,insight,909,40,38,401
study1,insight,909,37,38,17
study1,insight,2400,31,38,2
study1,insight,572,33,38,4
study1,insight,572,30,38,5
study1,insight,1220,30,38,2
study1,insight,2850,38,39,171
study1,insight,1104,32,39,18
study1,insight,1104,40,39,6
study1,insight,1104,36,39,6
study1,insight,1104,34,39,9
study1,insight,2046,40,39,102
study1,insight,2046,37,39,51
study1,insight,22,40,39,49
study1,insight,22,35,39,11
study1,insight,22,37,39,3
study1,insight,22,31,39,2
study1,insight,544,35,39,57
study1,insight,539,38,39,11
study1,insight,909,37,39,101
study1,insight,909,34,39,13
study1,insight,2400,34,39,40
study1,insight,2400,38,39,11
study1,insight,2400,37,39,6
study1,insight,2400,35,39,4
study1,insight,560,34,39,17
study1,insight,560,32,39,4
study1,insight,127,34,39,20
study1,insight,572,35,39,83
study1,insight,572,36,39,13
study1,insight,572,32,39,5
study1,insight,572,33,39,7
study1,insight,829,36,39,54
study1,insight,831,36,39,54
study1,insight,55,32,39,160
study1,insight,55,40,39,9
study1,insight,55,30,39,3
study1,insight,1220,38,39,112
study1,insight,1220,30,39,3
study1,insight,1220,35,39,10
study1,insight,1220,31,39,1
study1,insight,525,38,39,39
study1,insight,46,40,39,30
study1,insight,46,32,39,13
study1,insight,7851,30,39,148
study1,insight,7851,43,39,16
study1,insight,2920,38,39,12
study1,insight,1071,33,39,226
study1,insight,2753,38,39,739
study1,insight,2753,32,39,8
study1,insight,2715,39,40,61
study1,insight,2850,43,40,304
study1,insight,2850,39,40,13
study1,insight,605,34,40,96
study1,insight,22,37,40,5
study1,insight,539,36,40,39
study1,insight,562,39,40,18
study1,insight,562,33,40,4
study1,insight,909,30,40,19
study1,insight,64,29,40,106
study1,insight,2400,31,40,1
study1,insight,560,33,40,80
study1,insight,560,35,40,6
study1,insight,560,34,40,5
study1,insight,127,35,40,10
study1,insight,845,29,40,118
study1,insight,572,34,40,74
study1,insight,572,31,40,91
study1,insight,572,30,40,5
study1,insight,831,32,40,152
study1,insight,829,32,40,81
study1,insight,831,34,40,15
study1,insight,829,34,40,13
study1,insight,829,36,40,5
study1,insight,829,39,40,6
study1,insight,55,35,40,112
study1,insight,55,36,40,7
study1,insight,1220,29,40,12
study1,insight,1220,31,40,2
study1,insight,1220,33,40,3
study1,insight,525,30,40,29
study1,insight,46,37,40,38
study1,insight,7851,32,40,75
study1,insight,7851,30,40,8
study1,insight,2753,43,40,1061
study1,insight,2753,33,40,44
study1,insight,2715,36,43,25
study1,insight,1153,40,43,368
study1,insight,2850,30,43,17
study1,insight,1104,40,43,20
study1,insight,1104,38,43,17
study1,insight,1104,35,43,4
study1,insight,2046,30,43,57
study1,insight,2046,40,43,43
study1,insight,248,40,43,126
study1,insight,248,32,43,18
study1,insight,248,39,43,6
study1,insight,605,38,43,101
study1,insight,22,32,43,4
study1,insight,22,30,43,14
study1,insight,22,37,43,2
study1,insight,539,32,43,74
study1,insight,539,39,43,29
study1,insight,539,40,43,3
study1,insight,562,35,43,5
study1,insight,909,39,43,28
study1,insight,909,35,43,8
study1,insight,64,40,43,24
study1,insight,2400,32,43,22
study1,insight,2400,40,43,4
study1,insight,2400,35,43,3
study1,insight,560,38,43,7
study1,insight,127,29,43,77
study1,insight,127,39,43,8
study1,insight,127,30,43,12
study1,insight,127,35,43,5
study1,insight,845,30,43,78
study1,insight,845,35,43,81
study1,insight,572,36,43,33
study1,insight,572,31,43,4
study1,insight,572,40,43,11
study1,insight,572,35,43,3
study1,insight,831,38,43,278
study1,insight,829,31,43,24
study1,insight,831,35,43,44
study1,insight,829,38,43,4
