study,dimension,JudgeID,Won,Lost,TimeTaken
study1,rigour,9,23,17,38
study1,rigour,9,42,17,37
study1,rigour,9,24,17,7
study1,rigour,9,20,17,3
study1,rigour,1077,25,17,44
study1,rigour,1077,41,17,8
study1,rigour,1077,27,17,4
study1,rigour,269,24,17,192
study1,rigour,6376,27,17,7
study1,rigour,6376,21,17,7
study1,rigour,6376,20,17,3
study1,rigour,6376,41,17,3
study1,rigour,48,42,17,96
study1,rigour,48,18,17,3
study1,rigour,48,22,17,2
study1,rigour,48,41,17,4
study1,rigour,983,23,17,185
study1,rigour,1251,22,17,203
study1,rigour,1251,20,17,18
study1,rigour,1251,25,17,5
study1,rigour,1251,41,17,4
study1,rigour,753,20,17,63
study1,rigour,753,42,17,22
study1,rigour,753,25,17,6
study1,rigour,753,27,17,8
study1,rigour,450,42,17,34
study1,rigour,450,18,17,6
study1,rigour,450,24,17,5
study1,rigour,3103,25,17,16
study1,rigour,3103,41,17,15
study1,rigour,3103,24,17,4
study1,rigour,3103,23,17,4
study1,rigour,94,25,17,24
study1,rigour,94,19,17,6
study1,rigour,94,24,17,4
study1,rigour,74,42,17,135
study1,rigour,74,27,17,11
study1,rigour,74,23,17,9
study1,rigour,577,25,17,60
study1,rigour,577,27,17,12
study1,rigour,1553,42,17,143
study1,rigour,1553,25,17,20
study1,rigour,537,25,17,24
study1,rigour,1459,20,17,274
study1,rigour,1466,42,17,38
study1,rigour,1466,25,17,5
study1,rigour,1466,26,17,4
study1,rigour,1466,41,17,4
study1,rigour,1301,27,17,846
study1,rigour,524,27,17,40
study1,rigour,2719,26,17,7
study1,rigour,2719,21,17,19
study1,rigour,2719,25,17,8
study1,rigour,2719,41,17,3
study1,rigour,104,27,17,19
study1,rigour,104,21,17,6
study1,rigour,104,23,17,5
study1,rigour,17,41,17,49
study1,rigour,1301,42,17,9
study1,rigour,1301,21,17,5
study1,rigour,1301,22,17,4
study1,rigour,1736,24,17,78
study1,rigour,1736,41,17,63
study1,rigour,748,26,17,13
study1,rigour,748,25,17,6
study1,rigour,748,20,17,10
study1,rigour,78,20,17,129
study1,rigour,78,42,17,145
study1,rigour,78,23,17,6
study1,rigour,6860,22,17,2
study1,rigour,6860,23,17,4
study1,rigour,6860,41,17,3
study1,rigour,9,25,18,6
study1,rigour,9,20,18,12
study1,rigour,9,22,18,8
study1,rigour,9,21,18,5
study1,rigour,1077,20,18,67
study1,rigour,1077,21,18,6
study1,rigour,1077,23,18,5
study1,rigour,269,25,18,165
study1,rigour,6376,24,18,8
study1,rigour,6376,20,18,3
study1,rigour,6376,23,18,2
study1,rigour,6376,21,18,3
study1,rigour,1251,25,18,66
study1,rigour,1251,27,18,10
study1,rigour,1251,23,18,3
study1,rigour,753,22,18,164
study1,rigour,753,20,18,9
study1,rigour,450,24,18,8
study1,rigour,3103,41,18,123
study1,rigour,3103,24,18,3
study1,rigour,3103,25,18,4
study1,rigour,94,27,18,84
study1,rigour,94,22,18,5
study1,rigour,74,26,18,32
study1,rigour,74,20,18,18
study1,rigour,577,21,18,109
study1,rigour,1553,25,18,112
study1,rigour,1553,27,18,29
study1,rigour,1459,26,18,17
study1,rigour,1301,23,18,170
study1,rigour,524,42,18,12
study1,rigour,524,27,18,3
study1,rigour,2719,27,18,6
study1,rigour,104,42,18,100
study1,rigour,104,24,18,5
study1,rigour,17,24,18,34
study1,rigour,17,25,18,5
study1,rigour,1301,20,18,4
study1,rigour,1301,24,18,6
study1,rigour,1301,25,18,12
study1,rigour,78,23,18,57
study1,rigour,78,20,18,23
study1,rigour,78,42,18,3
study1,rigour,78,17,18,3
study1,rigour,6860,17,18,2
study1,rigour,6860,26,18,4
study1,rigour,6860,21,18,5
study1,rigour,9,21,19,3
study1,rigour,9,24,19,18
study1,rigour,9,27,19,22
study1,rigour,1077,22,19,169
study1,rigour,1077,42,19,14
study1,rigour,1077,26,19,4
study1,rigour,269,26,19,306
study1,rigour,269,27,19,184
study1,rigour,6376,21,19,12
study1,rigour,6376,27,19,4
study1,rigour,6376,41,19,2
study1,rigour,6376,42,19,2
study1,rigour,48,22,19,67
study1,rigour,48,27,19,2
study1,rigour,48,20,19,3
study1,rigour,983,21,19,79
study1,rigour,983,23,19,52
study1,rigour,1251,20,19,98
study1,rigour,1251,42,19,18
study1,rigour,1251,18,19,3
study1,rigour,1251,21,19,2
study1,rigour,753,24,19,150
study1,rigour,753,22,19,8
study1,rigour,753,26,19,6
study1,rigour,753,18,19,3
study1,rigour,450,18,19,20
study1,rigour,450,26,19,6
study1,rigour,3103,21,19,4
study1,rigour,3103,27,19,5
study1,rigour,3103,41,19,3
study1,rigour,94,26,19,66
study1,rigour,94,24,19,24
study1,rigour,74,20,19,26
study1,rigour,74,24,19,10
study1,rigour,74,18,19,8
study1,rigour,577,22,19,60
study1,rigour,577,25,19,19
study1,rigour,1553,23,19,176
study1,rigour,1459,24,19,64
study1,rigour,1459,21,19,290
study1,rigour,1301,22,19,301
study1,rigour,1466,27,19,214
study1,rigour,1466,22,19,35
study1,rigour,1466,23,19,5
study1,rigour,1466,18,19,2
study1,rigour,524,20,19,12
study1,rigour,524,17,19,7
study1,rigour,2719,18,19,6
study1,rigour,2719,20,19,4
study1,rigour,2719,21,19,2
study1,rigour,2719,26,19,3
study1,rigour,104,22,19,43
study1,rigour,104,41,19,5
study1,rigour,17,25,19,37
study1,rigour,17,26,19,9
study1,rigour,1301,41,19,6
study1,rigour,1301,42,19,4
study1,rigour,1301,20,19,4
study1,rigour,1736,23,19,459
study1,rigour,1736,18,19,13
study1,rigour,748,25,19,12
study1,rigour,748,23,19,10
study1,rigour,748,27,19,4
study1,rigour,748,41,19,3
study1,rigour,78,25,19,30
study1,rigour,78,26,19,75
study1,rigour,78,20,19,7
study1,rigour,6860,23,19,10
study1,rigour,6860,27,19,171
study1,rigour,6860,18,19,35
study1,rigour,9,41,20,197
study1,rigour,1077,24,20,9
study1,rigour,269,22,20,159
study1,rigour,6376,26,20,8
study1,rigour,6376,27,20,3
study1,rigour,48,18,20,66
study1,rigour,48,27,20,4
study1,rigour,48,22,20,8
study1,rigour,753,24,20,8
study1,rigour,450,23,20,52
study1,rigour,3103,26,20,81
study1,rigour,3103,27,20,10
study1,rigour,3103,22,20,8
study1,rigour,94,22,20,69
study1,rigour,94,18,20,47
study1,rigour,94,19,20,4
study1,rigour,94,26,20,111
study1,rigour,577,27,20,455
study1,rigour,537,21,20,33
study1,rigour,1466,18,20,22
study1,rigour,1466,25,20,9
study1,rigour,1466,23,20,6
study1,rigour,524,23,20,9
study1,rigour,2719,24,20,11
study1,rigour,104,26,20,40
study1,rigour,104,22,20,35
study1,rigour,104,41,20,7
study1,rigour,17,22,20,69
study1,rigour,1736,18,20,1860
study1,rigour,1736,21,20,7
study1,rigour,748,24,20,13
study1,rigour,78,26,20,7
study1,rigour,6860,21,20,2
study1,rigour,6860,19,20,5
study1,rigour,9,27,21,10
study1,rigour,1077,22,21,4
study1,rigour,6376,24,21,9
study1,rigour,48,25,21,42
study1,rigour,48,23,21,34
study1,rigour,1251,27,21,281
study1,rigour,1251,24,21,22
study1,rigour,1251,26,21,5
study1,rigour,753,42,21,249
study1,rigour,753,20,21,11
study1,rigour,753,22,21,8
study1,rigour,450,25,21,42
study1,rigour,450,20,21,6
study1,rigour,450,23,21,4
study1,rigour,3103,26,21,14
study1,rigour,3103,23,21,4
study1,rigour,94,42,21,148
study1,rigour,94,27,21,9
study1,rigour,94,22,21,6
study1,rigour,94,25,21,12
study1,rigour,74,22,21,24
study1,rigour,74,42,21,5
study1,rigour,74,26,21,5
study1,rigour,577,24,21,10
study1,rigour,1553,20,21,76
study1,rigour,1301,20,21,309
study1,rigour,1466,26,21,21
study1,rigour,1466,20,21,7
study1,rigour,1466,22,21,10
study1,rigour,524,42,21,3
study1,rigour,2719,20,21,12
study1,rigour,2719,22,21,4
study1,rigour,104,22,21,19
study1,rigour,17,23,21,41
study1,rigour,1301,22,21,21
study1,rigour,1736,22,21,842
study1,rigour,748,24,21,27
study1,rigour,748,23,21,15
study1,rigour,748,41,21,24
study1,rigour,78,23,21,59
study1,rigour,78,27,21,8
study1,rigour,78,25,21,2
study1,rigour,6860,22,21,2
study1,rigour,9,26,22,34
study1,rigour,269,26,22,6
study1,rigour,6376,26,22,4
study1,rigour,6376,27,22,3
study1,rigour,48,18,22,2
study1,rigour,1251,20,22,15
study1,rigour,1251,26,22,5
study1,rigour,3103,27,22,202
study1,rigour,3103,26,22,6
study1,rigour,94,26,22,9
study1,rigour,74,26,22,9
study1,rigour,1553,21,22,157
study1,rigour,1466,25,22,70
study1,rigour,524,42,22,64
study1,rigour,524,24,22,20
study1,rigour,524,41,22,6
study1,rigour,2719,24,22,30
study1,rigour,2719,23,22,6
study1,rigour,748,20,22,33
study1,rigour,748,26,22,12
study1,rigour,748,25,22,19
study1,rigour,748,21,22,14
study1,rigour,78,24,22,88
study1,rigour,78,27,22,43
study1,rigour,6860,24,22,3
study1,rigour,6860,26,22,4
study1,rigour,9,20,23,6
study1,rigour,9,25,23,7
study1,rigour,1077,22,23,20
study1,rigour,1077,20,23,5
study1,rigour,269,21,23,353
study1,rigour,6376,26,23,2
study1,rigour,48,26,23,5
study1,rigour,1251,26,23,43
study1,rigour,1251,41,23,10
study1,rigour,753,24,23,13
study1,rigour,753,25,23,11
study1,rigour,74,25,23,34
study1,rigour,74,24,23,8
study1,rigour,577,20,23,52
study1,rigour,537,26,23,133
study1,rigour,1459,22,23,103
study1,rigour,1466,26,23,66
study1,rigour,1466,18,23,4
study1,rigour,2719,27,23,6
study1,rigour,2719,20,23,6
study1,rigour,104,21,23,89
study1,rigour,1301,20,23,33
study1,rigour,748,18,23,5
study1,rigour,78,26,23,23
study1,rigour,6860,27,23,8
study1,rigour,9,27,24,100
study1,rigour,9,26,24,7
study1,rigour,6376,22,24,7
study1,rigour,48,25,24,10
study1,rigour,48,42,24,7
study1,rigour,48,18,24,1
study1,rigour,983,21,24,65
study1,rigour,1251,26,24,47
study1,rigour,1251,27,24,6
study1,rigour,1251,20,24,19
study1,rigour,3103,23,24,205
study1,rigour,94,23,24,78
study1,rigour,94,18,24,13
study1,rigour,1553,27,24,186
study1,rigour,1553,26,24,27
study1,rigour,1466,18,24,3
study1,rigour,524,23,24,21
study1,rigour,2719,26,24,6
study1,rigour,1301,23,24,11
study1,rigour,1301,26,24,12
study1,rigour,78,25,24,51
study1,rigour,6860,27,24,6
study1,rigour,6860,25,24,3
study1,rigour,9,26,25,13
study1,rigour,6376,41,25,31
study1,rigour,6376,23,25,6
study1,rigour,6376,24,25,5
study1,rigour,983,18,25,23
study1,rigour,1251,22,25,12
study1,rigour,1251,27,25,3
study1,rigour,753,26,25,21
study1,rigour,450,23,25,26
study1,rigour,3103,23,25,7
study1,rigour,3103,24,25,15
study1,rigour,94,23,25,10
study1,rigour,1459,26,25,147
study1,rigour,524,21,25,29
study1,rigour,524,26,25,6
study1,rigour,2719,26,25,31
study1,rigour,2719,24,25,6
study1,rigour,2719,27,25,4
study1,rigour,104,24,25,126
study1,rigour,104,18,25,19
study1,rigour,1301,26,25,8772
study1,rigour,1301,27,25,5
study1,rigour,1736,26,25,112
study1,rigour,1736,22,25,64
study1,rigour,748,24,25,13
study1,rigour,6860,42,25,7
study1,rigour,6860,41,25,3
study1,rigour,1077,24,26,18
study1,rigour,48,25,26,2
study1,rigour,983,41,26,185
study1,rigour,94,27,26,34
